	Article Title	Description	Coding	Movie
120	How ‘Saltburn’ Nailed So-Bad-It’s-Good 2000s Style	Director Emerald Fennell and costume designer Sophie Canale talk dressing Jacob Elordi in Abercrombie rugby shirts and referencing Princes William and Harry’s mid-aughts wardrobes.	Movie production	Saltburn
121	The Top 45 Events in Seattle This Week: Nov 6–12, 2023	Ms. Lauryn Hill & Fugees, Viet Thanh Nguyen, and More Top Picks	Unrelated	Not relevant
122	‘The Marvels’ flops in box office as fans complain of superhero fatigue	The Marvels is on track to claim the unfortunate title for worst opening weekend in the Marvel Cinematic Universe’s (MCU) 32-film history after a woeful first day of takings in the US.	Performance	The Marvels
123	Inside the Dystopian Appalachia Music of the ‘Hunger Games’ Prequel	‘Songbirds and Snakes’ executive music producer Dave Cobb on Rachel Zegler’s live vocals, using The Smiths as unlikely inspiration, and why author Suzanne Collins is “the most brilliant person I’ve ever talked to.”	Movie production	THG
124	Addison Rae Returns to Red Carpet For First Time in 9 Months at 'Thanksgiving' Premiere	Addison Rae wears a sheer look while stepping out for the premiere of her new movie Thanksgiving held at Vista Theatre on Tuesday (November 14) in Los Angeles. This is the first time the 23-year-old TikTok star turned actress has been on the red carpet nearly…	Actor & Director	Thanksgiving
125	The Top 45 Events in Portland This Week: Nov 20–26, 2023	39th Annual Tree Lighting Ceremony, Built to Spill, and More Top Picks	Unrelated	Not relevant
126	Meet 'Saltburn' Hotties Jacob Elordi, Barry Keoghan & Archie Madekwe	These guys are obsessed with each other in Saltburn.	Actor & Director	Saltburn
127	Alexander Payne Talks ‘The Holdovers,’ Paul Giamatti Being The “Greatest Actor” And Teases Future Western & French Language Projects	Born in Omaha, Nebraska, to two parents of Greek heritage, two-time Oscar winner Alexander Payne was awarded Greek citizenship last year around the time he was working on his latest feature, The Holdovers. In line with the honor, Payne has returned to his ado…	Actor & Director	The Holdovers
128	‘I Wonder How Many People Are Going to Buy This?’ Inside the Sensual, Stylized ‘Saltburn’ Cinematography	Oscar-winning cinematographer Linus Sandgren discusses shooting Barry Keoghan's naked dance and other disgustingly beautiful moments in 35mm for the fearless Emerald Fennell.	Movie production	Saltburn
129	The Ballad of Songbirds & Snakes Star Explains Lucy Gray & Katniss’ Connection	During a recent virtual press conference for The Hunger Games: The Ballad of Songbirds & Snakes, lead star Rachel Zegler revealed why she didn’t felt the need to study Jennifer Lawrence‘s performances as Katniss Everdeen to prepare for the role of Lucy Gray B…	Movie production	THG
130	How do you make a prequel for a series as big as The Hunger Games? We asked the director	Francis Lawrence talks casting Rachel Zegler and Tom Blyth in the new Hunger Games prequel.	Movie production	THG
0	Jacob Elordi Turned Down Auditioning for Superman: ‘That’s Too Dark for Me’	I like to make what I would watch, and I get very restless watching those movies, Elordi said of superhero films.	Actor & Director	Saltburn
1	‘Hunger Games: Ballad Of Songbirds & Snakes’ Looks To Sing $100M+ Worldwide Opening	In what will be a revived week for moviegoing post actors strike heading into the Thanksgiving holiday, Lionsgate’s The Hunger Games: The Ballad of Songbirds & Snakes is looking to lead a global frame with a $100M+ start. The pic is one of four big studio wid…	Performance	THG
2	‘Thanksgiving’ Review: Patrick Dempsey Polices Eli Roth’s Hard-R Slasher Flick That Started As A Fake Trailer But Proves To Have Enough Leftovers To Still Gross Us Out	Director and horror aficionado Eli Roth had plenty of fun working on his friends Quentin Tarantino and Robert Rodriguez’s 2007 drive-in double feature Grindhouse. Roth wasn’t part of the main attraction but he did do one of the fake trailers for a non-existen…	Movie production	Thanksgiving
3	THE MARVELS Plummets 80% For MCU's Worst Second-Weekend Drop Of All Time	The Marvels did not get off to a strong start at the box office last Friday, and, as expected, things haven't improved for Marvel Studios' Captain Marvel sequel...	Performance	The Marvels
4	There Are REAL CELEBS at the Saltburn Premiere	MARGOT ROBBIE, HOW I'VE MISSED YE.	Movie production	Saltburn
5	‘Priscilla’s’ Locket Choker from Sofia Coppola’s Film Now Available to Buy	Movie merch, but make it fashion. Only director Sofia Coppola can straddle the great divide between trendy fan fodder and handcrafted jewelry. And she’s done it yet again with the coveted locket choker from Coppola’s A24 film “Priscilla,” now available for pu…	Movie production	Priscilla
6	‘Hunger Games: Ballad of Songbirds and Snakes’ Earns $5.75 Million at Thursday Box Office	"Trolls Band Together earned $1.3 million in preview showings while ""Thanksgiving"" carved up $1 million"	Performance	THG
7	The Best Cinematography of 2023 (So Far)	From Los Alamos to Barbie Land to Broadway, 2023 has seen a remarkable share of memorable imagery.	Unrelated	Not relevant
8	‘The Hunger Games’ Filmmakers Discuss The Future Of The Franchise	"With ""The Ballad of Songbirds and Snakes"" arriving in theaters, longtime producer Nina Jacobson and director Francis Lawrence analyze this expanding cinematic world."	Movie production	THG
9	The Marvels Star Unveils New Details About Scrapped Young Avengers Scene	During a recent interview with ComicBook, The Marvels star Iman Vellani has shared new details about Kamala Khan/Ms. Marvel’s surprising scene with Hailee Steinfeld‘s Kate Bishop. The rising young actress revealed that there was another version of that scene,…	Movie production	The Marvels
10	What to watch: ‘The Holdovers’ could be a new holiday classic	Is it possible that there’s a new classic holiday film dropping down our chimneys?	Positive review	The Holdovers
11	Iman Vellani on Her Surprise Marvels Scene With [Spoiler], Plus Ms. Marvel Season 2 Hopes	The following contains surprise cameo spoilers from the motion picture The Marvels, now in theaters. Iman Vellani enjoyed her “Nick Fury moment” at the end of The Marvels as much as you did (if not more). Oh, and Kamala almost recruited a different young hero…	Movie production	The Marvels
12	Best Holiday Slasher Films	Thanksgiving almost upon us. Eli Roth has delivered a throwback holiday slasher, but what are some of the best in this subgenre?	Movie production	Thanksgiving
13	Behind the lens with ‘Hunger Games’ Jo Willems	Jo Willems has filmed every “Hunger Games” in collaboration with director Francis Lawrence. They met over 20 years ago and have worked consistently together since.	Actor & Director	THG
14	Here’s How You Can Watch ‘Priscilla,’ Including Its Potential Streaming Date	Sad girl autumn rages on until A24 releases the film to our clutches.	Movie production	Priscilla
15	What’s Next for the BBC Ghosts Cast?	For the last five years, January has meant one thing to the cast of Ghosts: trundling over to West Horsley Place in Surrey to film the next series. Not in 2024. The BBC comedy’s final episode is set to air this Christmas, and after that, what do this in-deman…	Unrelated	Not relevant
16	Review: ‘Thanksgiving’ is Eli Roth’s grotesque holiday slasher film with a surprisingly good premise	"The entrails-strewn slasher outing ""Thanksgiving"" is predictably gory but, at its best, unpredictably nimble. I didn't know filmmaker Eli Roth had it in him."	Positive review	Thanksgiving
17	"THE MARVELS Director Nia DaCosta Responds To Those Who Believe MCU Sequel Is ""Too Woke"""	"The Marvels hasn't had a super weekend at the box office, and there are plenty of people revelling in the ""woke"" Captain Marvel sequel's box office struggles. Now, filmmaker Nia DaCosta has chimed in..."	Backlash	The Marvels
18	Did superhero fatigue sink ‘The Marvels’ box office?	Since 2008’s “Iron Man,” the Marvel machine has been one of the most unstoppable forces in box-office history. Now, though, that aura of invincibility is showing signs of wear and tear. The superhero factory hit a new low with the weekend launch of “The Marve…	Performance	The Marvels
19	‘The Marvels’ Flops at International Box Office With $63 Million, Dramatically Behind 2019’s ‘Captain Marvel’	There’s nothing super about the opening weekend of Disney’s superhero adventure “The Marvels,” which whiffed at the box office with $63 million internationally and $110 million globally. Those figures are far behind expectations (heading into the weekend, Dis…	Performance	The Marvels
20	Brie Larson Surprises Fans at 'The Marvels' Screening in New York	Brie Larson is heading out to promote her new movie The Marvels! Directed by Nia DaCosta, The Marvels is the latest MCU entry. In the film, Brie‘s Carol Danvers aka Captain Marvel fights alongside Kamala Khan aka Ms. Marvel (Iman Vellani) and Captain Monica R…	Actor & Director	The Marvels
21	How to Watch Priscilla Right Now	Sofia Coppola's biopic tells the love story of Elvis and Priscilla Presley from a new perspective.	Movie production	Priscilla
22	'The Marvels' keeps plummeting in second weekend while 'Hunger Games' prequel tops pre-Thanksgiving box office	Lionsgate considers the $44 million domestic haul and $54.5 million international a strong start for the film, which had just a $100 million budget.	Performance	The Marvels
23	The Daily Responsibility of Democracy	Being adults in a time of juvenile politics is hard but necessary.	Unrelated	Not relevant
24	The Holdovers is an odd couple Christmas movie for the ages	The Paul Giamatti-led movie The Holdovers — equal parts funny and tragic — stuns with its performances, tone and message.	Positive review	The Holdovers
25	‘The Hunger Games’ Star Rachel Zegler Recalls Meeting Jennifer Lawrence Jokingly Wanting To Strangle Her For Photo	Rachel Zegler stars in The Hunger Games: The Ballad of Songbirds & Snakes and recently recalled an encounter she had with OG star Jennifer Lawrence. While making an appearance on The Kelly Clarkson Show, Zegler opened up about meeting Lawrence during the Chri…	Actor & Director	THG
26	‘The Marvels’ has a far from marvelous N.America opening	"The Marvels, a complicated sci-fi yarn about quantum entanglement, ""jump points"" and holes in space."	Backlash	The Marvels
27	'The Marvels' melts down at the box office, marking a new low for the MCU	Since 2008's ''Iron Man,'' the Marvel machine has been one of the most unstoppable forces in box-office history. Now, though, that aura of invincibility is showing signs of wear and tear. The superhero factory hit a new low with the weekend launch of ''The Ma…	Performance	The Marvels
28	Conservatives Cheer 'Woke' Film 'The Marvels' Flopping	Once again Disney has pushed a female-dominated cast onto the audience, and the failure has been spectacular, one social media user blasted.	Backlash	The Marvels
29	“Yuck! GIRLS!” Legendary Author Mocks ‘The Marvels’ Haters, Toxic “Fanboys”	Despite not actually being a fan of the Marvel Cinematic Universe (MCU), horror novelist Stephen King is standing up for director Nia DaCosta’s latest outing, The Marvels (2023), after the comic book sequel suffered the worst opening weekend in franchise hist…	Backlash	The Marvels
30	Da’Vine Joy Randolph on Alexander Payne Teaching Her to Smoke Cigarettes for ‘The Holdovers’: ‘We Redid Takes Because He Said It Doesn’t Look Right’	It could have been easy for Da’Vine Joy Randolph’s role in “The Holdovers” to be yet another stereotypical trope for Black women that Hollywood has lazily thrown out throughout history. If that had been the case, the actress tells Variety that would have pass…	Actor & Director	The Holdovers
31	With ‘The Holdovers,’ Da’Vine Joy Randolph Heads Back to School	Two years ago, Da’Vine Joy Randolph got a call that a director she’d never heard of wanted to meet with her about a new project. His name was Alexander Payne. “To be completely honest, I didn’t know who he was,” admits Randolph with a laugh. During their meet…	Actor & Director	The Holdovers
32	‘The Holdovers’ Marks Director Alexander Payne’s Reunion With Paul Giamatti	Alexander Payne’s career of quietly incisive, off-kilter human comedies has rarely met a tonal match quite so perfect as actor Paul Giamatti. The Oscar-nominated actor so memorably captured the absurdity, heartache and rage of fledgling middle age in Payne’s …	Actor & Director	The Holdovers
33	Interview: Eli Roth Talks Thanksgiving	We talk with Eli Roth about his latest, the long awaited holiday-themed slasher, Thanksgiving, starring Patrick Dempsey	Actor & Director	Thanksgiving
34	Priscilla Presley Has ‘No Problems’ with Sofia Coppola’s Film but Would ‘Never Support Another Movie’ of Her Life from Anyone Else	"She is for women, Priscilla said of Coppola, ""and when she approached me about doing a movie about me, I was moved by it."""	Actor & Director	Priscilla
35	The Dark Secrets Behind the New Hunger Games Movie	We talk with director Francis Lawrence about The Hunger Games: The Ballad of Songbirds and Snakes and the villainous side of Suzanne Collins' novels.	Actor & Director	THG
36	Jacob Elordi’s Elvis in ‘Priscilla’ Is as Oscar-Worthy as Austin Butler’s	In an era where young celebrities are overexposed or too media-trained to be interesting, Jacob Elordi has become a surprising object of fascination and debate in pop culture. Does this blandly handsome man have sex appeal, or is he just tall and Austral…	Actor & Director	Priscilla
37	Movie Kubrick never made...	Ridley Scott interview about Napoleon, his relationship with Stanley Kubrick and William Friedkin, and telling a story Kubrick never could.	Unrelated	Not relevant
38	Thanksgiving Director Eli Roth Knows The Power Of 'Slightly Ridiculous' Kill Scenes [Exclusive]	Thanksgiving director Eli Roth talks to us about creating memorable, and &amp;#39;slightly ridiculous&amp;#39; kill scenes for his new slasher movie.	Actor & Director	Thanksgiving
39	‘The Holdovers’ Gives Da’Vine Joy Randolph A Chance To Shine	Randolph's quietly intense performance in the Paul Giamatti film definitely stands out and might just bag her an Oscar nom.	Actor & Director	The Holdovers
40	How Jason Schwartzman Crafted A Very Different Hunger Games Host For The Prequel	Director Francis Lawrence is no stranger to the Hunger Games franchise--he's directed each of the movies in this series aside from the first one. But the prequel The Ballad of Songbirds and Snakes is a very different creature from those other films. This is a…	Actor & Director	THG
41	Priscilla Presley on why she didn’t remarry after Elvis: ‘no one could ever match him’	I’m seeing Priscilla tomorrow and I can hardly wait. Even though the film has a SAG-AFTRA waiver and the actors have been promoting it, the most interesting promotional appearances are coming from Priscilla Presley herself. After many decades living in the sh…	Movie production	Priscilla
42	‘Thanksgiving’ Review: Eli Roth’s Turkey-Day Slasher is Wicked Fun in the Right Way	Bloody, entertaining and knowingly ridiculous, Roth's latest serves up screams, a high body count and a delicious turn from Patrick Dempsey	Positive review	Thanksgiving
43	‘The Marvels’ Director Freaks on ‘Racist, Sexist, Homophobic’ Haters — but the Flop’s Largest Group of Ticket Buyers Is Male and White	"As Disney's ""The Marvels"" goes down as the biggest flop in Marvel Cinematic Universe history, the movie's director Nia DaCosta has played her final three cards: race, gender, and, sexuality."	Backlash	The Marvels
44	The Ballad of Songbirds & Snakes Team on Lucy and Katniss Differences	Everyone familiar with The Hunger Games franchise has certainly come to love the role of Katniss, which additionally became a major launchpad for star Jennifer Lawrence. Now, the franchise is preparing to pass the torch to a new leading lady with, Lucy, who a…	Actor & Director	THG
45	‘Priscilla’ Costume Designer Stacey Battat On Capturing Reality Through The Style Of Two Cultural Icons	Fashion plays a significant role throughout Sofia Coppola's new movie.	Movie production	Priscilla
46	'Lawmen: Bass Reeves' becomes the latest epic Western on Paramount+ | Streamed & Screened podcast	"Streamed & Screened podcast: ""Lawmen: Bass Reeves,"" is a passion project of David Oyelowo, who takes on the title role that tells the story of the deputy U.S. Marshal."	Unrelated	Not relevant
47	Thanksgiving Ending Explained: To Be Or Not Turkey	Eli Roth&amp;#39;s long-awaited slasher, Thanksgiving, is finally here. But what does the ending mean and should we expect a sequel?	Movie production	Thanksgiving
48	Eli Roth's ‘Thanksgiving’ is Actually Great	The horror director's fake ‘Grindhouse’ trailer is now a feature-length parade of inspired slasher set pieces.	Positive review	Thanksgiving
49	Box Office: ‘Hunger Games’ Gobbles Up $19.1 Million Opening Day, ‘Trolls 3’ Rolls to Second as ‘The Marvels’ Faces Brutal Drop	“The Ballad of Songbirds and Snakes” has caught some fire at the domestic box office. Lionsgate’s “Hunger Games” prequel earned about $19.1 million on its opening day from 3,776 locations, a figure that includes $5.75 million in Thursday previews. The new ins…	Performance	THG
50	Alexander Payne’s School for Sad Sacks	In writer-director Alexander Payne’s 2017 film, Downsizing, Paul Safranek (Matt Damon) chooses to shrink down and live at five inches tall. By getting small, he can live large and provide a better life for his wife; it will also help save the planet, we’re to…	Actor & Director	The Holdovers
51	Rachel Zegler’s New Movie Becomes Worst-Rated in Franchise History	Ahead of her Disney debut in director Marc Webb’s Snow White (2025) reboot, lead actress Rachel Zegler is gearing up for the premiere of her latest outing, The Hunger Games: The Ballad of Songbirds and Snakes (2023). The movie, which serves as a prequel to th…	Performance	THG
52	THE HUNGER GAMES: THE BALLAD OF SONGBIRDS AND SNAKES Review: Satisfying, If You Know What You Want	Directed by Francis Lawrence, The Hunger Games: The Ballad of Songbirds and Snakes is the brand new prequel to The Hunger Games saga (2012-2015). It is set just over 60 years before Katniss Everdeen volunteers as a tribute in the 74th Hunger Games. The film f…	Positive review	THG
53	Emerald Fennell on ‘Saltburn’: The Film So Filthy and Shocking We Have to Talk About It	To see Saltburn is to have a burning desire to talk about Saltburn.The film incites the kind of raging inferno inside of you that won’t be extinguished unless you’re able to immediatel…	Actor & Director	Saltburn
54	Final Fantasy 7 remake trilogy will link with Advent Children, confirms producer	Final Fantasy 7's remake trilogy will ultimately link up with Advent Children, making the film part of the remake canon.	Unrelated	Not relevant
55	I’ll Spend This Entire Weekend Thinking About That One Scene From “The Marvels”	There’s the kind of gay you can see, and the kind of gay you can touch, and then there’s the kind of gay that you just know.	Movie production	The Marvels
56	‘The Hunger Games: The Ballad of Songbirds & Snakes’ Review: Fallen Snow	The 18-year-old Coriolanus Snow (Tom Blyth) — future president of Panem, eventual tormentor of Katniss Everdeen — begins “The Hunger Games: The Ballad of Songbirds & Snakes” with his stomach growling. This slow-burning prequel by the franchise’s returning dir…	Movie production	THG
57	‘Thanksgiving’ Director Eli Roth on Making a Black Friday-Inspired Slasher and Lessons He Took From ‘The Idol’	The Vista Theatre hosted two premieres on Tuesday night — the first was for Thanksgiving, Eli Roth’s latest horror offering based on the fake trailer he created for the 2007 film Grindhouse. The second was for the movie house itself, which held its first prem…	Actor & Director	Thanksgiving
58	Hunter Schafer Reveals Why Her 'Hunger Games' Prequel Role Was a Challenge	Hunter Schafer is describing the challenges of her role in The Hunger Games: The Ballad of Songbirds and Snakes. In the Hunger Games prequel, directed by Francis Lawrence, Hunter plays Tigris, the loyal cousin of Coriolanus Snow (Tom Blyth). At the film’s New…	Actor & Director	THG
59	Priscilla Presley says Sofia Coppola’s depiction of her life is “right on”	It perhaps shouldn’t be news that the subject of a biopic signed off on a director’s vision of their own life, but in the wake of exploitative productions like Pam & Tommy and even Blonde, it’s nice to know that a film really did its homework. Luckily for sub…	Movie production	Priscilla
60	Sofia Coppola imagines Priscilla's teen years, living at Graceland with Elvis	I felt like my role was just to explain her experience, Coppola says of her new film, Priscilla. The filmmaker also has a new book, Archive, which collects documents from her eight movies.	Actor & Director	Priscilla
61	‘Hunger Games’ Star Tom Blyth Says He Wanted ‘People to Be Heartbroken’ by His Portrayal of a Young Monster	"The British actor tells TheWrap how — and why — he gave the young Coriolanus Snow his humanity in ""The Ballad of Songbirds and Snakes"""	Actor & Director	THG
62	You Can Thank an Octopus for the Grossest Sound Effects in Saltburn	‘Saltburn’’s sound supervisor spills all the slurpy, squelchy secrets behind the movie’s most outrageous scenes — and the key role an octopus played in that bathtub scene.	Movie production	Saltburn
63	The Ballad Of Songbirds & Snakes' 8 Biggest Hunger Games Prequel Book Changes	The Ballad of Songbirds and Snakes is faithful to the book by Suzanne Collins, but there are still a few changes. We break down what the film alters.	Movie production	THG
64	Margot Robbie & Husband Tom Ackerley Make Red Carpet Appearance at 'Saltburn' Premiere	Margot Robbie and Tom Ackerley are making a very rare red carpet appearance together! The married couple posed for photos while arriving at the premiere of Saltburn held on Tuesday evening (November 14) at The Theatre at Ace Hotel in Los Angeles. PHOTOS: Chec…	Actor & Director	Saltburn
65	‘The Holdovers’ Director Alexander Payne’s ‘Sideways’ Reunion With Paul Giamatti Was 20 Years in the Making	The Oscar-winning filmmaker tells TheWrap the role of a curmudgeonly history professor was written for the “Billions” actor before he even signed on	Actor & Director	The Holdovers
66	Miramax Loved ‘The Holdovers’ ’70s-Style Logo Design So Much It Ended Up Using It on Other Releases	Director Alexander Payne’s “The Holdovers” roots itself in 1970s nostalgia, right down to the main title design and the studio logos. However, neither company existed at the time. Distributor Focus Features was founded in 2002, while the film’s production com…	Movie production	The Holdovers
67	‘Hunger Games: Ballad Of Songbirds & Snakes’ Looks To Sing $100M+ Worldwide Opening – Preview	In what will be a revived week for moviegoing post actors strike heading into the Thanksgiving holiday, Lionsgate’s The Hunger Games: The Ballad of Songbirds & Snakes is looking to lead a global frame with a $100M+ start. The pic is one of four big studio wid…	Performance	THG
68	Border Town Drama ‘Radical’ With Eugenio Derbez Busts Out In U.S. Debut; ‘Priscilla’ Rocks Expansion – Specialty Box Office	Radical with Eugenio Derbez built on its smash opening in Mexico to hit no. 5 at the U.S. box office with a super $2.7 million at 416 theaters. The Pantelion film had delayed its debut Stateside by two weeks to skirt The Eras Tour juggernaut, allowing word of…	Performance	Priscilla
69	“The Killer” Misses	Anthony Lane reviews “The Killer,” David Fincher’s thriller starring Michael Fassbender, and “The Holdovers,” Alexander Payne’s tale of a seventies prep school, starring Paul Giamatti, Da’Vine Joy Randolph, and Dominic Sessa.	Backlash	The Holdovers
70	Nicolas Cage on Filming a Movie in Toronto at the Same Time as Cousin Sofia Coppola: “This Has Got to be Good Luck”	Nicolas Cage and Sofia Coppola surprisingly found themselves making movies in Toronto at the same time. The Oscar-winning actor told Entertainment Tonight, in an interview published online Friday, that while he was shooting the Kristoffer Borgli-directed come…	Unrelated	Not relevant
71	Emerald Fennell’s Poisoned Fantasies	The director is building a world of brutality and Millennial vibes, one movie at a time.	Actor & Director	Saltburn
72	THE MARVELS Debuts With $110M Worldwide; Best Opening Weekend For A Movie By A Black Female Director	The Marvels has failed to take off on its theaterical debut, with a disappointing $110.3 million global haul. However, this still marks the best opening weekend for a film by a Black female director.	Performance	The Marvels
73	With ‘The Hunger Games’ Prequel, Tom Blyth Enters a Whole New Arena	On the eve of his star making turn as a pre-presidency Coriolanus Snow, the actor shares why he went no-contact with the original franchise cast, what he’d ask Donald Sutherland now, and how he’d approach the next chapter of Snow’s villainy.	Actor & Director	THG
74	‘Nightmares in the Sky: Gargoyles and Grotesques’ Brings Stephen King to the Coffee Table [The Losers’ Club Podcast]	The sun is setting, it’ll be dark soon. Anxious, the Losers’ Club scans the nearby skyscrapers and gazes at the monstrosities watching from above. The stone monsters. The gargoyles! Join co-hosts Dan Pfleegor and Dan Caffrey as they celebrate the 35th anniver…	Unrelated	Not relevant
75	THE MARVELS' CinemaScore Is Tied With ETERNALS & ANT-MAN 3 As Lowest In MCU History	"Despite a strong audience score on Rotten Tomatoes, The Marvels has received a ""B"" CinemaScore, tying it with Eternals and Ant-Man and the Wasp: Quantumania as the lowest in MCU history..."	Performance	The Marvels
76	Review: ‘The Marvels’ Is Exactly The Great, Fun Superhero Movie Marvel Studios Needs	The Marvels will top the box office this weekend, but the superhero sequel looks sadly destined to underperform.	Positive review	The Marvels
77	We Didn't Need The Evil White Guy Origin Story For 'Hunger Games'	Movies about how bad men rose to infamy are too often met with unfair scrutiny. ‘Ballad of Songbird and Snakes,’ though, deserves that scorn.	Backlash	THG
78	The MCU is losing the common moviegoer, and that's a huge problem for its survival	The Marvel Cinematic Universe might just be on its last legs.	Performance	The Marvels
79	Emilia Clarke, Jenna Ortega and Alessia Russo win at Women of the Year awards	Actresses Emilia Clarke and Jenna Ortega were among the winners at this year's Harper's Bazaar Women of the Year Awards.	Actor & Director	Priscilla
80	‘Saltburn’ Composer Anthony Willis On Emerald Fennell’s “Dirty Sense” And Templar Knights	It wasn’t a tough decision for Anthony Willis when Emerald Fennell asked him to compose Saltburn, the drama that stars Barry Keoghan as a young and nerdy Oxford university student who becomes obsessed with a popular and wealthy student (Jacob Elordi). Willis …	Movie production	Saltburn
81	The Hunger Games: The Ballad of Songbirds & Snakes review: a worthwhile prequel	The Hunger Games: The Ballad of Songbirds & Snakes is an entertaining, overlong prequel. It's now playing in theaters nationwide.	Positive review	THG
82	Thanksgiving Director Eli Roth on Going From a Short to a Feature — and That Cheerleader Scene	Thanksgiving director Eli Roth sits down with IGN to open up about turning his short film into a full-blown feature - as well as that infamous cheerleader scene.	Actor & Director	Thanksgiving
83	The Nineteen-Seventies of “The Holdovers” Is Conveniently Sanitized	Richard Brody reviews Alexander Payne’s newest film, “The Holdovers,” starring Paul Giamatti, Dominic Sessa, and Da’Vine Joy Randolph.	Movie production	The Holdovers
84	‘The Hunger Games: Ballad of Songbirds & Snakes’ Is the Rare Good Prequel	It’s possible, Francis Lawrence’s movie suggests, to do something as cynical as a brand extension with care and insight.	Positive review	THG
85	Jacob Elordi Turned Down A ‘Superman’ Audition & Has No Interest In Superhero Roles Right Now	Jacob Elordi has quickly become one of the most sought-after actors in the world. Thanks to a scene-stealing role in “Euphoria,” as well as some acclaimed performances since, he’s seemingly always in the conversation when it comes to the next generation of ma…	Unrelated	Not relevant
86	MOVIES: A sweet one for the holidays, Denys Arcand on our woke conflicts and a new one from Marvel	Also: extreme pursuit of fame and re-imagining your life in high school	Movie production	The Marvels
87	Rachel Zegler Says Jennifer Lawrence Joked When They First Met: Let’s Do a Photo ‘Where I’m Strangling You and Saying You’ll Never Take My Part’	Rachel Zegler is the new face of the “Hunger Games” franchise thanks to her role as Lucy Gray Baird in the prequel “The Hunger Games: The Ballad of Songbirds & Snakes.” During a recent visit to “The Kelly Clarkson Show,” Zegler recalled what it was like meeti…	Actor & Director	THG
88	Will There Be a Sequel to ‘The Hunger Games: The Ballad of Songbirds and Snakes’? What We Know About the Franchise’s Future	Will we see more of Lucy Gray?	Movie production	THG
89	Sweet Nothings: On the Emptiness of Sofia Coppola’s Priscilla	At the conclusion of Priscilla Beaulieu Presley’s 1985 memoir, Elvis and Me, she writes that Elvis “was, and remains, the greatest influence in my life.” Priscilla’s formative years with the King of Rock and Roll are what constitute much of her plainspoken ye…	Movie production	Priscilla
90	‘The Holdovers’ Review: A Very Medicated Christmas	The Holdovers tells the story of faculty, staff and students held over the winter break at a New England boarding school. If there’s one thing ... Read More	Movie production	The Holdovers
91	Box Office Results: Hunger Games Prequel Rises to the Top as Marvels Sinks	There are plenty of pros and cons at the box office this week. We’ll start with the good news. The Hunger Games prequel, The Ballad of Songbirds & Snakes, opened with a decent but not spectacular $44 million, enough to propel the Francis Lawrence-directed pic…	Performance	THG
92	Sex, style and spoiled rich boys: Promising Young Woman director returns with a fever dream thriller	Emerald Fennell is back with a thrilling, dark satire set in an English mansion that doesn't shy away from the 'sticky and difficult' stuff.	Positive review	Saltburn
93	Stellar cast makes ‘The Holdovers” a winner	With novel-like magic, “The Holdovers” makes you fall in love with its damaged miscreants.	Positive review	The Holdovers
94	Priscilla Presley Says She Was ‘Concerned’ About ‘Priscilla’ Film Prior to Release	One day after a report claimed that Lisa Marie Presley slammed the new film before her passing, her mother praised it while at an event in Las Vegas.	Movie production	Priscilla
95	Thanksgiving review: a gruesome, cutthroat horror comedy	Eli Roth's Thanksgiving is a gloriously violent, fun horror comedy. It's now playing in theaters nationwide.	Movie production	Thanksgiving
96	The Marvels hit with worst box office opening for any MCU movie to date with just S$64 million	<![CDATA[ The 2019 Brie Larson-led Captain Marvel sequel is the 33rd installment in the Marvel Cinematic Universe (MCU). ]]>	Performance	The Marvels
97	Sofia Coppola Chats About Her Latest Gig: A Luxury Cashmere Collection, Barrie + Sofia Coppola	Coppola hosted a party Tuesday night at the Invisible Collection in New York to introduce the collection.	Unrelated	Not relevant
98	‘The Marvels’ Director Nia DaCosta Stuns At Special Premiere Event In Vegas, Teams Up With Ms. Marvel For Super-Powered Surprise	Visionary director Nia DaCosta commands the carpet at 'The Marvels' special screening event in Las Vegas, Nevada	Movie production	The Marvels
99	Priscilla Presley reveals why she never remarried after Elvis | CNN	Priscilla Presley is talking about why she never remarried after her six-year marriage to Elvis Presley ended.	Movie production	Priscilla
100	Breaking Down the Ending of Eli Roth’s New Holiday Slasher Thanksgiving	Breaking down the twist ending of Eli Roth's new holiday slasher	Movie production	Thanksgiving
101	The Marvels Director Nia DaCosta Wants To Unite Two X-Men Heroes Next	"The Marvels Director Nia DaCosta Wants To Unite Two X-Men Heroes Next Following her admirable contribution to the Candyman franchise, director Nia DaCosta has been on the rise. In the ""Captain Marvel"" sequel, ""The Marvels,"" the filmmaker reunites with ""Candym…"	Actor & Director	The Marvels
102	‘Saltburn’ Stars Jacob Elordi and Barry Keoghan on Swapping Bodily Fluids, Gravesite Sex and More	SPOILER ALERT: This story contains descriptions of key scenes and storylines in “Saltburn.” Oscar-winning filmmaker Emerald Fennell’s new twisted thriller, “Saltburn,” includes several graphic scenes that have left moviegoers debating whether to be titillated…	Actor & Director	Saltburn
103	Box Office Predictions: The Marvels looks to have one of the worst MCU debuts	With many fans growing tired of the MCU formula, The Marvels looks to have a debut in the bottom three of all 33 films.	Performance	The Marvels
104	How do you travel back to 1970s Massachusetts in the movies? Location, location, location.	"Location manager Kai Quinlan helped make the Bay State a star in Alexander Payne’s new film, ""The Holdovers."""	Movie production	The Holdovers
